Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Allport et al. 1994 Exp 1 - Shift Both Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Neutral,N/A,Disjoint - Category (Same Modality),Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Value Judgment - Even or Odd,Group Count - More or Less Than 5,Different,Switching both stimulus dimension and cognitive operation concurrently.,"{""block_id"": ""Allport et al. 1994 Exp 1 Shift Both""}"
Allport et al. 1994 Exp 3 - Uniform Word Naming,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,2,N/A,Word Naming,N/A,N/A,,
Allport et al. 1994 Exp 3 - Uniform Color Naming,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Color Naming,N/A,N/A,,
Allport et al. 1994 Exp 3 - Uniform Value Naming,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,2,N/A,Value Naming,N/A,N/A,,
Allport et al. 1994 Exp 3 - Uniform Group Count,1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Group Count,N/A,N/A,,
Allport et al. 1994 Exp 3 - Uniform Color Stimuli Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,3,Word Naming,Color Naming,Different,Alternating between Word and Color naming using only incongruent color-word stimuli.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Uniform Color Stimuli""}"
Allport et al. 1994 Exp 3 - Uniform Color Stimuli Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,3,Word Naming,Color Naming,Different,Alternating between Word and Color naming using only incongruent color-word stimuli.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Uniform Color Stimuli""}"
Allport et al. 1994 Exp 3 - Uniform Numeral Stimuli Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Incongruent,N/A,Identical,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,3,Value Naming,Group Count,Different,,"{""block_id"": ""Allport et al. 1994 Exp 3 - Uniform Numeral Stimuli""}"
Allport et al. 1994 Exp 3 - Uniform Numeral Stimuli Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Incongruent,N/A,Identical,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,2,3,Value Naming,Group Count,Different,,"{""block_id"": ""Allport et al. 1994 Exp 3 - Uniform Numeral Stimuli""}"
Allport et al. 1994 Exp 3 - Dominant Mixed Congruent Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Congruent,N/A,Disjoint - Category (Same Modality),Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Word Naming,Value Naming,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Dominant Mixed""}"
Allport et al. 1994 Exp 3 - Dominant Mixed Incongruent Switch Trials,,0,N/A,N/A,0,0,0,100%,Switch,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Word Naming,Value Naming,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Dominant Mixed""}"
Allport et al. 1994 Exp 3 - Dominant Mixed Congruent Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Congruent,N/A,Disjoint - Category (Same Modality),Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Word Naming,Value Naming,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Dominant Mixed""}"
Allport et al. 1994 Exp 3 - Dominant Mixed Incongruent Repeat Trials,,0,N/A,N/A,0,0,0,100%,Repeat,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Compatible,None/Implicit,None/Implicit,Yes,Not Specified,2,2,Word Naming,Value Naming,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - Dominant Mixed""}"
Allport et al. 1994 Exp 3 - NonDom Mixed Congruent Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Congruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Color Naming,Group Count,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - NonDom Mixed""}"
Allport et al. 1994 Exp 3 - NonDom Mixed Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Color Naming,Group Count,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - NonDom Mixed""}"
Allport et al. 1994 Exp 3 - NonDom Mixed Congruent Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Congruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Color Naming,Group Count,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - NonDom Mixed""}"
Allport et al. 1994 Exp 3 - NonDom Mixed Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,100%,Repeat,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Color Naming,Group Count,Different,Stimulus type (word vs. number) transparently cued the task. Tasks were self paced.,"{""block_id"": ""Allport et al. 1994 Exp 3 - NonDom Mixed""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Neutral 20ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,20,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Incongruent 20ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,20,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Neutral 20ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,20,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Incongruent 20ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,20,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Neutral 20ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,20,3,2,Color Naming,Word Reading,Different,"Dual S-R episode (T1 -> T2). Key temporal manipulation is the Response-Stimulus Interval (RSI) between R1 and S2. The inter-task SOA is coded as ""N/A"" because the inter-task interval should take precedence in the mapping. The inter-trial-pair interval (ITI) was 1800ms.","{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Incongruent 20ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,20,3,2,Color Naming,Word Reading,Different,Dual S-R episode (T1 -> T2). Key temporal manipulation is the Response-Stimulus Interval (RSI) between R1 and S2. The inter-trial-pair interval (ITI) was 1800ms.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Neutral 20ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,20,2,3,Word Reading,Color Naming,Different,Dual S-R episode (T1 -> T2). Key temporal manipulation is the Response-Stimulus Interval (RSI) between R1 and S2. The inter-trial-pair interval (ITI) was 1800ms.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Incongruent 20ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,20,2,3,Word Reading,Color Naming,Different,Dual S-R episode (T1 -> T2). Key temporal manipulation is the Response-Stimulus Interval (RSI) between R1 and S2. The inter-trial-pair interval (ITI) was 1800ms.,"{""block_id"": ""Allport et al. 1994 Exp 5 20ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Neutral 550ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,550,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Incongruent 550ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,550,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Neutral 550ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,550,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Incongruent 550ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,550,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Neutral 550ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,550,3,2,Color Naming,Word Reading,Different,"Two tasks in a single trial, first color naming, then word reading. The RSI is the interval between the response to the color naming task and the stimulus of the word reading task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Incongruent 550ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,550,3,2,Color Naming,Word Reading,Different,"Two tasks in a single trial, first color naming, then word reading. The RSI is the interval between the response to the color naming task and the stimulus of the word reading task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Neutral 550ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,550,2,3,Word Reading,Color Naming,Different,"Two tasks in a single trial, first word reading, then color naming. The RSI is the interval between the response to the word reading task and the stimulus of the color naming task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Incongruent 550ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,550,2,3,Word Reading,Color Naming,Different,"Two tasks in a single trial, first word reading, then color naming. The RSI is the interval between the response to the word reading task and the stimulus of the color naming task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 550ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Neutral 1100ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Word Reading Incongruent 1100ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,2,N/A,Word Reading,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Neutral 1100ms RSI,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Baseline Color Naming Incongruent 1100ms RSI,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,3,N/A,Color Naming,N/A,N/A,Baseline single-task condition. The 'RSI' value of [20/550/1100]ms represents the fixed ITI for this block. The overall ITI between trial pairs (1.8s) does not apply here.,"{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Neutral 1100ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1100,3,2,Color Naming,Word Reading,Different,"Two tasks in a single trial, first color naming, then word reading. The RSI is the interval between the response to the color naming task and the stimulus of the word reading task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Word Reading Incongruent 1100ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1100,3,2,Color Naming,Word Reading,Different,"Two tasks in a single trial, first color naming, then word reading. The RSI is the interval between the response to the color naming task and the stimulus of the word reading task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Neutral 1100ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Neutral,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1100,2,3,Word Reading,Color Naming,Different,"Two tasks in a single trial, first word reading, then color naming. The RSI is the interval between the response to the word reading task and the stimulus of the color naming task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Allport et al. 1994 Exp 5 Switch to Color Naming Incongruent 1100ms RSI,2,1,No,N/A,0,0,0,0%,Pure,Incongruent,N/A,Identical,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1100,2,3,Word Reading,Color Naming,Different,"Two tasks in a single trial, first word reading, then color naming. The RSI is the interval between the response to the word reading task and the stimulus of the color naming task. This is not implementable in the SE. Intertrial interval is 1800ms. N_Tasks is coded as 1 but this needs to be 2 in the SE with an SOA that exceeds the duration of task 1.","{""block_id"": ""Allport et al. 1994 Exp 5 1100ms RSI""}"
Sigman & Dehaene (2006) Standard Order,2,1,No,500,N/A,0,0,0%,N/A,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,3200,2,3,Tone Discrimination,Number Comparison,Different,"Unique bridge paradigm. N_Tasks=2 with task order uncertainty, coded as Switch Rate=50%. SOA was randomized trial-to-trial (-1000ms to +1000ms), so mean SOA=0 is used.","{""block_id"": ""Sigman & Dehaene (2006)"", ""viewer_config"":{""SOA_distribution"":""uniform"",""SOA_range"":[0,1000], ""ITI_distribution"":""uniform"", ""ITI_range"":[3100,3300]}}"
Sigman & Dehaene (2006) Alternate Order,2,1,No,-500,N/A,0,0,0%,N/A,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,None/Implicit,None/Implicit,No,3200,2,3,Tone Discrimination,Number Comparison,Different,"Unique bridge paradigm. N_Tasks=2 with task order uncertainty, coded as Switch Rate=50%. SOA was randomized trial-to-trial (-1000ms to +1000ms), so mean SOA=0 is used.","{""block_id"": ""Sigman & Dehaene (2006)"", ""viewer_config"":{""SOA_distribution"":""uniform"",""SOA_range"":[-1000,0], ""ITI_distribution"":""uniform"", ""ITI_range"":[3100,3300]}}"
McCann & Johnston 1992 Exp1 - Compatible T2 (SOA 50),2,1,Yes,50,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Arbitrary T2 (SOA 50),2,1,Yes,50,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Compatible T2 (SOA 150),2,1,Yes,150,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Arbitrary T2 (SOA 150),2,1,Yes,150,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Compatible T2 (SOA 300),2,1,Yes,300,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Arbitrary T2 (SOA 300),2,1,Yes,300,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Compatible T2 (SOA 800),2,1,Yes,800,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp1 - Arbitrary T2 (SOA 800),2,1,Yes,800,N/A,0,0,0%,Pure,N/A,N/A,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination (high vs. low). Vocal response.,Shape/size judgment. Manual keypress response.,Different,,"{""block_id: ""McCann & Johnston 1992 Exp1""}"
McCann & Johnston 1992 Exp2 - Arrows + Congruent Distractor T2 (SOA 50),2,1,Yes,50,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,2,Tone discrimination,Arrow to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Congruent Distractor T2 (SOA 150),2,1,Yes,150,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,2,Tone discrimination,Arrow to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Congruent Distractor T2 (SOA 300),2,1,Yes,300,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,2,Tone discrimination,Arrow to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Congruent Distractor T2 (SOA 800),2,1,Yes,800,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,2,Tone discrimination,Arrow to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Congruent Distractor T2 (SOA 50),2,1,Yes,50,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Congruent Distractor T2 (SOA 150),2,1,Yes,150,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Congruent Distractor T2 (SOA 300),2,1,Yes,300,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Congruent Distractor T2 (SOA 800),2,1,Yes,800,0,0,0,0%,Pure,N/A,Congruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Incongruent Distractor Distractor T2 (SOA 50),2,1,Yes,50,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Incongruent Distractor Distractor T2 (SOA 150),2,1,Yes,150,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Incongruent Distractor Distractor T2 (SOA 300),2,1,Yes,300,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Arrows + Incongruent Distractor Distractor T2 (SOA 800),2,1,Yes,800,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Compatible,None/Implicit,None/Implicit,Yes,1000,3,3,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Incongruent Distractor Distractor T2 (SOA 50),2,1,Yes,50,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
McCann & Johnston 1992 Exp2 - Letters + Incongruent Distractor Distractor T2 (SOA 150),2,1,Yes,150,0,0,0,0%,Pure,N/A,Incongruent,Disjoint - Modality,Compatible,Arbitrary,None/Implicit,None/Implicit,Yes,1000,3,4,Tone discrimination,Letter to Direction Key Mapping,Different,,"{""block_id"": ""McCann & Johnston 1992 Exp2""}"
